,Event,Site,Date,Round,White,Black,Result,ECO,EventDate
0,World Championship 1st,USA,1886.01.11,1,"Zukertort, Johannes H","Steinitz, Wilhelm",0-1,D11,1886.01.11
1,World Championship 1st,USA,1886.01.13,2,"Steinitz, Wilhelm","Zukertort, Johannes H",0-1,C47,1886.01.11
2,World Championship 1st,USA,1886.01.15,3,"Zukertort, Johannes H","Steinitz, Wilhelm",1-0,D10,1886.01.11
3,World Championship 1st,USA,1886.01.18,4,"Steinitz, Wilhelm","Zukertort, Johannes H",0-1,C67,1886.01.11
4,World Championship 1st,USA,1886.01.20,5,"Zukertort, Johannes H","Steinitz, Wilhelm",1-0,D10,1886.01.11
5,World Championship 1st,USA,1886.02.03,6,"Steinitz, Wilhelm","Zukertort, Johannes H",1-0,C67,1886.01.11
6,World Championship 1st,USA,1886.02.05,7,"Zukertort, Johannes H","Steinitz, Wilhelm",0-1,D40,1886.01.11
7,World Championship 1st,USA,1886.02.08,8,"Steinitz, Wilhelm","Zukertort, Johannes H",1/2-1/2,C67,1886.01.11
8,World Championship 1st,USA,1886.02.10,9,"Zukertort, Johannes H","Steinitz, Wilhelm",0-1,D26,1886.01.11
9,World Championship 1st,USA,1886.02.26,10,"Steinitz, Wilhelm","Zukertort, Johannes H",1/2-1/2,C67,1886.01.11
10,World Championship 1st,USA,1886.03.01,11,"Zukertort, Johannes H","Steinitz, Wilhelm",0-1,C49,1886.01.11
11,World Championship 1st,USA,1886.03.03,12,"Steinitz, Wilhelm","Zukertort, Johannes H",1-0,C67,1886.01.11
12,World Championship 1st,USA,1886.03.05,13,"Zukertort, Johannes H","Steinitz, Wilhelm",1-0,D26,1886.01.11
13,World Championship 1st,USA,1886.03.12,14,"Steinitz, Wilhelm","Zukertort, Johannes H",1/2-1/2,C67,1886.01.11
14,World Championship 1st,USA,1886.03.15,15,"Zukertort, Johannes H","Steinitz, Wilhelm",1/2-1/2,D50,1886.01.11
15,World Championship 1st,USA,1886.03.17,16,"Steinitz, Wilhelm","Zukertort, Johannes H",1-0,C65,1886.01.11
16,World Championship 1st,USA,1886.03.19,17,"Zukertort, Johannes H","Steinitz, Wilhelm",1/2-1/2,D60,1886.01.11
